rgb_conv.0.weight	[8, 5, 1, 1]
feature_extractor.backbone.conv7.expand_conv.bn.bias	[120]
feature_extractor.backbone.conv7.expand_conv.bn._mean	[120]
feature_extractor.backbone.conv7.expand_conv.bn._variance	[120]
feature_extractor.backbone.conv7.bottleneck_conv.conv.weight	[120, 1, 5, 5]
feature_extractor.backbone.conv7.bottleneck_conv.bn.weight	[120]
feature_extractor.backbone.conv7.bottleneck_conv.bn.bias	[120]
feature_extractor.backbone.conv7.bottleneck_conv.bn._mean	[120]
feature_extractor.backbone.conv7.bottleneck_conv.bn._variance	[120]
feature_extractor.backbone.conv7.mid_se.conv1.weight	[30, 120, 1, 1]
feature_extractor.backbone.conv7.mid_se.conv1.bias	[30]
feature_extractor.backbone.conv7.mid_se.conv2.weight	[120, 30, 1, 1]
feature_extractor.backbone.conv7.mid_se.conv2.bias	[120]
feature_extractor.backbone.conv7.linear_conv.conv.weight	[40, 120, 1, 1]
feature_extractor.backbone.conv7.linear_conv.bn.weight	[40]
feature_extractor.backbone.conv7.linear_conv.bn.bias	[40]
feature_extractor.backbone.conv7.linear_conv.bn._mean	[40]
feature_extractor.backbone.conv7.linear_conv.bn._variance	[40]
feature_extractor.backbone.conv8.expand_conv.conv.weight	[240, 40, 1, 1]
feature_extractor.backbone.conv8.expand_conv.bn.weight	[240]
feature_extractor.backbone.conv8.expand_conv.bn.bias	[240]
feature_extractor.backbone.conv8.expand_conv.bn._mean	[240]
feature_extractor.backbone.conv8.expand_conv.bn._variance	[240]
feature_extractor.backbone.conv8.bottleneck_conv.conv.weight	[240, 1, 3, 3]
feature_extractor.backbone.conv8.bottleneck_conv.bn.weight	[240]
feature_extractor.backbone.conv8.bottleneck_conv.bn.bias	[240]
feature_extractor.backbone.conv8.bottleneck_conv.bn._mean	[240]
feature_extractor.backbone.conv8.bottleneck_conv.bn._variance	[240]
feature_extractor.backbone.conv8.linear_conv.conv.weight	[80, 240, 1, 1]
feature_extractor.backbone.conv8.linear_conv.bn.weight	[80]
feature_extractor.backbone.conv8.linear_conv.bn.bias	[80]
feature_extractor.backbone.conv8.linear_conv.bn._mean	[80]
feature_extractor.backbone.conv8.linear_conv.bn._variance	[80]
feature_extractor.backbone.conv9.expand_conv.conv.weight	[200, 80, 1, 1]
feature_extractor.backbone.conv9.expand_conv.bn.weight	[200]
feature_extractor.backbone.conv9.expand_conv.bn.bias	[200]
feature_extractor.backbone.conv9.expand_conv.bn._mean	[200]
feature_extractor.backbone.conv9.expand_conv.bn._variance	[200]
feature_extractor.backbone.conv9.bottleneck_conv.conv.weight	[200, 1, 3, 3]
feature_extractor.backbone.conv9.bottleneck_conv.bn.weight	[200]
feature_extractor.backbone.conv9.bottleneck_conv.bn.bias	[200]
feature_extractor.backbone.conv9.bottleneck_conv.bn._mean	[200]
feature_extractor.backbone.conv9.bottleneck_conv.bn._variance	[200]
feature_extractor.backbone.conv9.linear_conv.conv.weight	[80, 200, 1, 1]
feature_extractor.backbone.conv9.linear_conv.bn.weight	[80]
feature_extractor.backbone.conv9.linear_conv.bn.bias	[80]
feature_extractor.backbone.conv9.linear_conv.bn._mean	[80]
feature_extractor.backbone.conv9.linear_conv.bn._variance	[80]
feature_extractor.backbone.conv10.expand_conv.conv.weight	[184, 80, 1, 1]
feature_extractor.backbone.conv10.expand_conv.bn.weight	[184]
feature_extractor.backbone.conv10.expand_conv.bn.bias	[184]
feature_extractor.backbone.conv10.expand_conv.bn._mean	[184]
feature_extractor.backbone.conv10.expand_conv.bn._variance	[184]
feature_extractor.backbone.conv10.bottleneck_conv.conv.weight	[184, 1, 3, 3]
feature_extractor.backbone.conv10.bottleneck_conv.bn.weight	[184]
feature_extractor.backbone.conv10.bottleneck_conv.bn.bias	[184]
feature_extractor.backbone.conv10.bottleneck_conv.bn._mean	[184]
feature_extractor.backbone.conv10.bottleneck_conv.bn._variance	[184]
feature_extractor.backbone.conv10.linear_conv.conv.weight	[80, 184, 1, 1]
feature_extractor.backbone.conv10.linear_conv.bn.weight	[80]
feature_extractor.backbone.conv10.linear_conv.bn.bias	[80]
feature_extractor.backbone.conv10.linear_conv.bn._mean	[80]
feature_extractor.backbone.conv10.linear_conv.bn._variance	[80]
feature_extractor.backbone.conv11.expand_conv.conv.weight	[184, 80, 1, 1]
feature_extractor.backbone.conv11.expand_conv.bn.weight	[184]
feature_extractor.backbone.conv11.expand_conv.bn.bias	[184]
feature_extractor.backbone.conv11.expand_conv.bn._mean	[184]
feature_extractor.backbone.conv11.expand_conv.bn._variance	[184]
feature_extractor.backbone.conv11.bottleneck_conv.conv.weight	[184, 1, 3, 3]
